InformationType,Count_接口B_CacheHit,Count_接口B_CacheMiss,Count_接口B_NoCacheInfo,Count_接口C_CacheHit,Count_接口C_CacheMiss,Count_接口C_NoCacheInfo
BOND,0,0,53,14,0,42
HOT_NEWS,0,0,12,3,0,9
INTERACTION,0,0,4,4,0,12
INV_NEWS,0,0,199,53,0,157
LAW,0,0,12,3,0,9
NEWS,0,0,7,1,0,3
NOTICE,0,0,37,8,0,26
REPORT,0,0,15,3,0,9
WECHAT,0,0,3,1,0,3
